City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
vila,75,IT,1569908351,100,45.18,8.4,64.99,3.36
boende,94,CD,1569908351,94,-0.28,20.88,70.79,2.3
byron bay,1,AU,1569908124,56,-28.65,153.62,70.0,12.75
saint-georges,95,CA,1569908352,18,46.12,-70.67,48.0,3.62
sao miguel do araguaia,41,BR,1569908237,68,-13.28,-50.16,76.73,3.29
tocopilla,92,CL,1569908352,80,-22.09,-70.2,57.65,4.99
freeport,10,BS,1569908353,80,26.54,-78.7,79.25,21.97
stubbekobing,100,DK,1569908353,93,54.89,12.04,51.01,1.12
zlobin,20,HR,1569908353,93,45.29,14.65,63.0,1.12
rawson,0,AR,1569908354,33,-43.3,-65.11,43.43,20.18
tezu,99,IN,1569908354,94,27.93,96.16,71.33,2.8
sao gabriel da cachoeira,77,BR,1569908354,94,-0.13,-67.09,73.67,0.92
mitsamiouli,88,KM,1569908355,83,-11.38,43.28,79.97,10.02
sibu,75,MY,1569908355,62,2.29,111.83,87.8,4.7
verkhnyaya inta,100,RU,1569908355,89,65.99,60.32,42.53,11.65
belaya gora,0,RU,1569908355,54,68.54,146.19,30.47,8.63
pioner,100,RU,1569908356,74,50.07,45.68,57.29,20.22
shingu,75,JP,1569908356,83,33.72,135.99,80.6,9.17
mandalgovi,74,MN,1569908357,56,45.76,106.27,55.85,22.08
mount isa,0,AU,1569908357,11,-20.73,139.49,95.0,11.41
arlit,52,NE,1569908357,16,18.74,7.39,87.35,10.74
villa carlos paz,75,AR,1569908357,41,-31.42,-64.5,60.01,18.34
saratoga springs,90,US,1569908358,100,43.08,-73.79,60.01,4.7
luohe,14,CN,1569908358,30,33.57,114.03,89.15,10.47
labuhan,89,ID,1569908358,42,-2.54,115.51,93.29,2.06
bereda,20,ES,1569908359,82,43.27,-7.54,66.99,6.93
tecolutla,95,MX,1569908359,95,17.31,-98.74,58.01,1.9
susangerd,0,IR,1569908359,55,31.56,48.19,89.6,4.7
guanica,40,PR,1569908359,77,17.97,-66.91,82.0,10.16
soyo,90,AO,1569908360,78,-6.13,12.37,76.01,5.73
minsk,75,BY,1569908360,76,53.9,27.56,51.8,22.37
berezovyy,66,RU,1569908360,53,51.67,135.7,62.33,4.81
lamar,1,US,1569908361,57,38.09,-102.62,75.2,23.04
buraydah,0,SA,1569908361,39,26.33,43.97,82.4,2.24
galveston,1,US,1569908361,83,40.58,-86.19,75.0,8.05
sokolo,42,ML,1569908362,39,14.74,-6.12,81.77,8.79
marystown,10,CA,1569908362,74,47.17,-55.16,40.37,13.06
shu,98,KZ,1569908362,51,43.6,73.76,58.55,2.66
hamilton,90,CA,1569908267,93,43.26,-79.87,60.8,4.7
pahrump,1,US,1569908363,18,36.21,-115.98,61.0,6.93
bandarbeyla,40,SO,1569908363,55,9.49,50.81,82.67,9.89
madimba,75,CM,1569908363,100,4.42,9.93,75.2,1.12
beringovskiy,97,RU,1569908364,97,63.05,179.32,42.71,5.97
benghazi,11,LY,1569908364,66,32.12,20.07,76.55,6.46
makakilo city,1,US,1569908364,83,21.35,-158.09,82.4,4.7
powell river,20,CA,1569908365,65,49.84,-124.52,48.0,2.24
fairview,90,CA,1569908365,56,56.07,-118.38,42.8,5.82
aykhal,90,RU,1569908365,92,65.95,111.51,24.8,4.47
erdaojiang,0,CN,1569908365,46,41.78,126.03,73.67,5.86
la ronge,75,CA,1569908366,92,55.1,-105.3,28.4,2.24
guozhen,0,CN,1569908366,22,29.3,113.14,94.55,1.81
port hedland,0,AU,1569908366,9,-20.31,118.58,104.0,13.87
shatsk,100,RU,1569908367,86,54.03,41.71,55.49,17.92
voi,100,KE,1569908367,71,-3.4,38.57,74.75,5.48
ust-kuyga,77,RU,1569908367,64,70.0,135.55,28.13,5.77
angoche,0,MZ,1569908367,49,-16.23,39.91,87.71,11.63
mosquera,40,CO,1569908368,93,4.71,-74.23,50.0,6.93
ilo,95,PE,1569908368,85,-17.65,-71.34,60.35,9.28
porto novo,40,BR,1569908368,77,-23.68,-45.44,64.4,5.82
plettenberg bay,0,ZA,1569908158,67,-34.05,23.37,57.11,3.47
burnie,23,AU,1569908369,48,-41.05,145.91,64.99,1.99
ayr,0,AU,1569908369,64,-19.58,147.4,80.01,5.99
zhanaozen,26,KZ,1569908369,34,43.35,52.85,62.51,17.63
komsomolskiy,100,RU,1569908370,86,67.55,63.78,35.51,9.44
oga,0,IT,1569908370,100,46.46,10.35,54.0,2.24
sao paulo do potengi,20,BR,1569908370,100,-5.89,-35.76,77.0,4.7
morehead,90,US,1569908370,83,38.18,-83.43,77.0,3.38
dudinka,75,RU,1569908371,92,69.41,86.18,30.2,8.95
kollam,75,IN,1569908371,74,8.88,76.6,84.2,5.82
zyryanka,1,RU,1569908371,64,65.73,150.89,30.47,0.43
santona,40,ES,1569908372,88,43.44,-3.46,66.99,5.82
biak,100,ID,1569908372,95,-0.91,122.88,67.73,4.36
nabire,94,ID,1569908372,88,-3.36,135.5,77.63,1.25
sao francisco,0,BR,1569908373,46,-25.65,-53.85,71.6,6.93
lakatoro,63,VU,1569908373,100,-16.11,167.42,77.0,10.29
erzin,0,TR,1569908373,93,36.95,36.2,73.99,3.36
saint anthony,75,US,1569908374,86,43.97,-111.68,37.4,9.17
snasa,75,NO,1569908374,100,64.25,12.38,30.2,3.36
zeya,100,RU,1569908374,99,53.74,127.27,42.35,3.49
abashiri,40,JP,1569908374,56,44.01,144.25,69.8,8.05
joshimath,23,IN,1569908375,73,30.57,79.57,58.37,6.64
pinsk,92,BY,1569908375,80,52.11,26.1,49.55,15.12
canon city,1,US,1569908375,68,39.46,-117.13,28.4,3.36
wielun,17,PL,1569908376,90,51.22,18.57,51.01,1.99
vestmannaeyjar,100,IS,1569908376,81,63.44,-20.27,47.93,12.77
pueblo,1,US,1569908376,59,38.25,-104.61,63.0,25.28
mestia,0,GE,1569908377,38,43.04,42.73,50.81,0.94
maracaibo,75,CO,1569908377,94,3.41,-75.78,69.8,4.7
kiunga,70,PG,1569908377,93,-6.12,141.3,82.67,2.21
vila franca do campo,20,PT,1569908377,87,37.72,-25.43,71.01,3.36
sept-iles,40,CA,1569908378,69,50.2,-66.38,33.8,5.82
port hueneme,1,US,1569908378,82,34.15,-119.2,64.4,3.36
tsumeb,0,NA,1569908378,27,-19.25,17.72,53.6,3.36
ende,0,ID,1569908379,76,-8.84,121.65,79.25,5.37
chama,43,ZM,1569908379,41,-11.22,33.16,83.93,5.21
eureka,1,US,1569908088,93,40.8,-124.16,46.99,3.36
zhuhai,40,CN,1569908380,47,40.71,112.04,77.0,4.47
rorvik,0,NO,1569908380,100,64.86,11.24,30.2,2.24
skibbereen,75,IE,1569908380,93,51.55,-9.27,57.2,4.7
benguela,100,AO,1569908380,88,-12.58,13.4,70.61,10.27
noumea,0,NC,1569908380,57,-22.28,166.46,77.0,16.11
jiwani,48,PK,1569908381,82,25.05,61.74,82.49,7.63
seoul,20,KR,1569908381,61,37.57,126.98,80.6,2.24
tarakan,40,ID,1569908382,74,3.3,117.63,87.8,4.7
san carlos,14,NI,1569908382,16,11.12,-84.78,71.01,3.2
araouane,21,ML,1569908382,11,18.9,-3.53,87.71,12.71
marrakesh,0,MA,1569908382,31,31.63,-7.99,75.2,2.24
nakusp,80,CA,1569908383,91,50.24,-117.8,27.23,0.85
khategaon,76,IN,1569908383,76,22.6,76.91,81.59,12.46
coolum beach,26,AU,1569908383,92,-26.53,153.09,66.99,8.3
ocampo,92,MX,1569908383,88,27.32,-102.4,68.09,5.93
jasper,1,US,1569908384,100,33.83,-87.28,78.01,2.75
khani,0,GE,1569908384,68,41.96,42.96,68.0,12.75
garissa,57,KE,1569908384,62,-0.46,39.64,83.03,10.98
agua prieta,1,MX,1569908385,39,31.32,-109.55,66.0,10.29
portree,67,GB,1569908385,83,57.41,-6.19,39.99,18.32
omsukchan,100,RU,1569908385,93,62.53,155.8,17.51,4.14
pangnirtung,100,CA,1569908386,98,66.15,-65.72,31.01,1.16
murmashi,75,RU,1569908386,93,68.82,32.82,39.2,8.95
port lincoln,0,AU,1569908386,58,-34.72,135.86,70.25,16.2
tirumullaivasal,44,IN,1569908387,58,11.24,79.84,88.43,5.53
santa cruz,24,BR,1569908387,93,-6.22,-36.02,64.85,4.81
miquelon,20,PM,1569908387,68,47.1,-56.38,47.57,22.41
cam ranh,20,VN,1569908387,66,11.92,109.15,89.6,9.17
khasan,0,RU,1569908388,51,42.43,130.64,76.37,6.24
luganville,75,VU,1569908388,78,-15.51,167.18,82.4,11.41
sartell,41,US,1569908388,87,45.62,-94.21,60.01,9.6
kautokeino,100,NO,1569908389,96,69.01,23.04,37.13,24.83
havelock,1,US,1569908137,83,34.88,-76.9,73.4,6.93
sungaipenuh,82,ID,1569908389,64,-2.08,101.38,84.83,4.47
kpandae,100,GH,1569908390,90,8.46,-0.01,73.13,5.17
uige,91,AO,1569908390,84,-7.61,15.06,69.35,1.48
bobcaygeon,90,CA,1569908390,100,44.54,-78.55,57.0,2.24
acapulco,75,MX,1569908390,88,16.86,-99.88,75.2,4.07
kjollefjord,75,NO,1569908391,80,70.95,27.35,42.8,17.22
babusnica,20,RS,1569908391,52,43.07,22.41,64.4,12.75
